timestamp,block,trial,response_time,target_response,response
2024-02-10 00:06:04.933767,word,1,0.39608390000648797,incongruent,incongruent
2024-02-10 00:06:05.140601,word,2,0.18742709996877238,incongruent,incongruent
2024-02-10 00:06:05.339638,word,3,0.18571230000816286,incongruent,congruent
2024-02-10 00:06:05.510213,word,4,0.15666910004802048,incongruent,congruent
2024-02-10 00:06:05.678060,word,5,0.15839840000262484,congruent,congruent
2024-02-10 00:06:05.843254,word,6,0.15752399998018518,incongruent,incongruent
2024-02-10 00:06:06.020569,word,7,0.16813329997239634,incongruent,incongruent
2024-02-10 00:06:06.216561,word,8,0.1802270999760367,congruent,incongruent
2024-02-10 00:06:06.394225,word,9,0.15699920000042766,congruent,incongruent
2024-02-10 00:06:06.560662,word,10,0.15764330001547933,congruent,congruent
2024-02-10 00:06:06.720945,word,11,0.14982220000820234,incongruent,congruent
2024-02-10 00:06:06.891840,word,12,0.15537200000835583,incongruent,congruent
2024-02-10 00:06:07.062412,word,13,0.15960329998051748,incongruent,congruent
2024-02-10 00:06:07.266753,word,14,0.17850979999639094,congruent,incongruent
2024-02-10 00:06:07.450589,word,15,0.1647582000005059,congruent,incongruent
2024-02-10 00:06:07.636182,word,16,0.16650699998717755,incongruent,incongruent
2024-02-10 00:06:07.804715,word,17,0.15184710000175983,incongruent,congruent
2024-02-10 00:06:07.975475,word,18,0.15648639999562874,incongruent,congruent
2024-02-10 00:06:12.332734,number,1,0.29576070001348853,incongruent,incongruent
2024-02-10 00:06:12.544075,number,2,0.1891501999925822,incongruent,incongruent
2024-02-10 00:06:12.727998,number,3,0.17319689999567345,incongruent,incongruent
2024-02-10 00:06:12.906596,number,4,0.16948759998194873,congruent,incongruent
2024-02-10 00:06:13.051375,number,5,0.13082589994883165,incongruent,congruent
2024-02-10 00:06:13.217492,number,6,0.14659670001128688,congruent,congruent
2024-02-10 00:06:13.393472,number,7,0.15492689999518916,congruent,congruent
2024-02-10 00:06:13.569369,number,8,0.16514769999776036,incongruent,congruent
2024-02-10 00:06:13.733179,number,9,0.14584830001695082,incongruent,incongruent
2024-02-10 00:06:13.891579,number,10,0.13701559999026358,congruent,incongruent
2024-02-10 00:06:14.070634,number,11,0.16704199998639524,incongruent,incongruent
2024-02-10 00:06:14.290674,number,12,0.2036324999644421,congruent,congruent
2024-02-10 00:06:14.448604,number,13,0.14403119997587055,incongruent,congruent
2024-02-10 00:06:14.631796,number,14,0.1602104000048712,incongruent,congruent
2024-02-10 00:06:14.856113,number,15,0.20235760003561154,incongruent,incongruent
2024-02-10 00:06:15.042026,number,16,0.17192900000372902,incongruent,incongruent
2024-02-10 00:06:15.369937,number,17,0.3146451000357047,incongruent,incongruent
2024-02-10 00:06:15.577872,number,18,0.19098219997249544,incongruent,congruent
2024-02-10 00:06:20.348504,pair,1,0.6921413000090979,incongruent,congruent
2024-02-10 00:06:20.526625,pair,2,0.15354310005204752,incongruent,congruent
2024-02-10 00:06:20.693433,pair,3,0.15521340002305806,congruent,congruent
2024-02-10 00:06:20.885917,pair,4,0.18119959998875856,incongruent,incongruent
2024-02-10 00:06:21.058075,pair,5,0.15287250000983477,incongruent,incongruent
2024-02-10 00:06:21.262372,pair,6,0.18992189998971298,congruent,incongruent
2024-02-10 00:06:21.456270,pair,7,0.16654070001095533,incongruent,incongruent
2024-02-10 00:06:21.621631,pair,8,0.1492803000146523,incongruent,congruent
2024-02-10 00:06:21.794093,pair,9,0.15408750000642613,incongruent,congruent
2024-02-10 00:06:21.973815,pair,10,0.16814739996334538,congruent,congruent
2024-02-10 00:06:22.137871,pair,11,0.1491515000234358,incongruent,congruent
2024-02-10 00:06:22.296003,pair,12,0.14142820000415668,congruent,incongruent
2024-02-10 00:06:22.476161,pair,13,0.1699063999694772,congruent,incongruent
2024-02-10 00:06:22.671292,pair,14,0.16508329997304827,incongruent,incongruent
2024-02-10 00:06:22.838572,pair,15,0.15020600002026185,incongruent,congruent
2024-02-10 00:06:23.018137,pair,16,0.16250039997976273,incongruent,congruent
2024-02-10 00:06:23.182258,pair,17,0.14267490000929683,incongruent,congruent
2024-02-10 00:06:23.364604,pair,18,0.1585518000065349,incongruent,incongruent
